likes,dislikes,comment_count,
6667,118,946,0
1857,64,398,0
619,98,386,0
15194,345,2130,0
5161,212,441,0
9195,592,771,0
3980,62,106,0
5956,161,934,0
1360,109,768,0
4957,61,507,0
1472,467,395,0
7158,89,318,0
2288,159,255,0
506,36,81,0
3175,131,173,0
9381,29,403,0
10680,90,292,0
7801,148,451,0
18006,47,1884,0
6425,245,498,0
2543,147,247,0
1413,121,202,0
10012,113,1107,0
882,496,570,0
8714,161,468,0
3821,130,614,0
1996,107,281,0
423,91,51,0
2915,766,574,0
1000,756,3240,0
5717,284,565,0
4259,101,254,0
1368,110,768,0
7125,68,1919,0
11303,95,1076,0
2596,303,273,0
1260,1007,1728,0
1869,65,399,0
15382,119,887,0
10366,276,1345,0
4604,158,531,0
1424,718,475,0
4355,158,318,0
4856,259,742,0
2479,573,1243,0
6642,370,941,0
1979,878,546,0
6018,387,866,0
6862,278,326,0
8940,198,1642,0
1263,1007,1741,0
8361,107,738,0
4426,226,736,0
412,195,320,0
8243,42,961,0
3143,257,584,0
7297,100,435,0
1633,175,146,0
1629,41,125,0
4609,135,588,0
3050,329,586,0
5628,88,529,0
4895,62,261,0
883,496,566,0
7962,151,774,0
2504,39,505,0
5855,175,599,0
1142,95,543,0
14749,475,2133,0
8617,178,1054,0
2570,916,547,0
580,262,343,0
7546,365,888,0
715,565,716,0
1265,1008,1736,0
8598,194,918,0
1856,78,99,0
1595,562,1333,0
3622,109,847,0
3204,886,3451,0
15360,37,1708,0
426,92,51,0
6039,61,740,0
9800,161,774,0
4283,193,454,0
4500,314,451,0
5738,125,1421,0
4429,174,272,0
6524,65,396,0
369,124,88,0
605,141,211,0
1990,70,304,0
3892,209,365,0
3807,108,360,0
6041,214,707,0
10511,43,766,0
1145,61,131,0
632,211,170,0
12235,188,891,0
1950,64,136,0
3521,77,269,0
5367,53,478,0
2032,234,86,0
5071,147,357,0
6889,144,973,0
3102,253,575,0
4263,137,329,0
8821,163,473,0
19122,140,1499,0
18259,71,2782,0
5817,285,574,0
7985,40,676,0
428,92,51,0
371,124,88,0
5978,149,761,0
7259,48,428,0
1848,31,113,0
4255,227,585,0
3184,258,595,0
8693,179,1060,0
18774,163,2392,0
4458,229,740,0
21772,77,1267,0
6762,538,1151,0
7125,83,725,0
4154,157,543,0
519,39,84,0
5744,76,1006,0
1906,50,143,0
2275,177,755,0
4462,25,524,0
371,124,87,0
18026,143,1781,0
1393,46,120,0
2139,31,151,0
1439,123,201,0
